城市, 總計 , 男 , 女 
 總計 ,"6,806,455","3,404,654","3,401,801"
 新北市 ,"850,164","467,862","382,302"
 臺北市 ,"541,480","285,301","256,179"
 桃園市 ,"681,379","332,022","349,357"
 臺中市 ,"929,532","421,948","507,584"
 臺南市 ,"596,559","283,340","313,219"
 高雄市 ,"768,923","371,270","397,653"
 宜蘭縣 ,"141,292","71,165","70,127"
 新竹縣 ,"203,015","97,919","105,096"
 苗栗縣 ,"200,734","102,262","98,472"
 彰化縣 ,"434,536","210,088","224,448"
 南投縣 ,"196,443","103,477","92,966"
 雲林縣 ,"249,502","130,328","119,174"
 嘉義縣 ,"187,523","101,684","85,839"
 屏東縣 ,"270,224","142,748","127,476"
 臺東縣 ,"71,674","40,620","31,054"
 花蓮縣 ,"109,304","57,402","51,902"
 澎湖縣 ,"28,195","16,425","11,770"
 基隆市 ,"85,526","48,627","36,899"
 新竹市 ,"137,311","60,808","76,503"
 嘉義市 ,"82,760","36,387","46,373"
 金門縣 ,"37,519","21,125","16,394"
 連江縣 ,"2,860","1,846","1,014"
